Time(sec)	Acceleration (g)	Speed	Position	Scaled position
0.0000	0.0062320	0.0000	0.0000	0.0000
0.020000	0.0052040	0.00011436	1.1436e-06	0.0038116
0.040000	0.0040310	0.00020671	4.3543e-06	0.014513
0.060000	0.0027090	0.00027411	9.1625e-06	0.030539
0.080000	0.0031310	0.00033251	1.5229e-05	0.050758
0.10000	0.0088500	0.00045232	2.3077e-05	0.076916
0.12000	0.014286	0.00068368	3.4437e-05	0.11478
0.14000	0.014496	0.00097150	5.0989e-05	0.16995
0.16000	0.0079960	0.0011964	7.2668e-05	0.24220
0.18000	-0.00077500	0.0012686	9.7318e-05	0.32436
0.20000	-0.0099410	0.0011615	0.00012162	0.40536
0.22000	-0.0073060	0.00098900	0.00014312	0.47702
0.24000	0.0023350	0.00093929	0.00016241	0.54131
0.26000	0.00058700	0.00096851	0.00018148	0.60487
0.28000	-0.0011590	0.00096279	0.00020080	0.66927
0.30000	0.0044080	0.00099528	0.00022038	0.73453
0.32000	0.0045950	0.0010853	0.00024118	0.80385
0.34000	0.00036300	0.0011349	0.00026339	0.87788
0.36000	0.0057450	0.0011960	0.00028670	0.95557
0.38000	0.012133	0.0013747	0.00031240	1.0412
0.40000	0.0068990	0.0015651	0.00034180	1.1392
0.42000	-0.012326	0.0015108	0.00037256	1.2417
0.44000	-0.012256	0.0012650	0.00040032	1.3343
0.46000	-0.00031200	0.0011393	0.00042436	1.4144
0.48000	-0.0021480	0.0011147	0.00044690	1.4895
0.50000	0.0055050	0.0011483	0.00046953	1.5649
0.52000	0.0062500	0.0012658	0.00049367	1.6454
0.54000	0.0022420	0.0013507	0.00051984	1.7326
0.56000	-0.010557	0.0012676	0.00054602	1.8199
0.58000	-0.022934	0.00093268	0.00056802	1.8932
0.60000	-0.017361	0.00052973	0.00058265	1.9420
0.62000	0.0023840	0.00037996	0.00059174	1.9723
0.64000	0.0082430	0.00048623	0.00060040	2.0011
0.66000	0.0094150	0.00066281	0.00061190	2.0395
0.68000	0.035517	0.0011121	0.00062964	2.0986
